comunidad,num.entrevista,nombre.recurso,tipo.terreno,terreno.tamano.m2.,riego,manejo.producto,manejo.herramienta,manejo.estructura
Aticpac,7,iztananacatl,huerto,200,temporal,NA,manual,NA
Aticpac,7,chilnanacatl,huerto,200,temporal,NA,manual,NA
Aticpac,7,tonagas,huerto,200,temporal,NA,manual,NA
Aticpac,7,kaxpalzi,huerto,200,temporal,NA,manual,NA
Aticpac,7,mandarina,huerto,200,temporal,NA,manual,NA
Aticpac,7,platano,huerto,200,temporal,NA,manual,NA
Aticpac,7,naranja,huerto,200,temporal,NA,manual,NA
Aticpac,7,aguacate,huerto,200,temporal,NA,manual,NA
Aticpac,7,violeta,huerto,200,temporal,NA,manual,NA
Aticpac,7,arnica,huerto,200,temporal,NA,manual,NA
Aticpac,7,velikmoli,huerto,200,temporal,NA,manual,NA
Aticpac,7,velikmoli,huerto,200,temporal,NA,manual,NA
Aticpac,7,cafe,huerto,200,temporal,NA,manual,NA
Aticpac,7,tepexilotl,huerto,200,temporal,NA,manual,NA
Aticpac,7,tomakilitl,huerto,200,temporal,NA,manual,NA
Aticpac,7,hierbasanta,huerto,200,temporal,NA,manual,NA
Aticpac,7,tzopelikilitl,huerto,200,temporal,NA,manual,NA
Aticpac,7,rosa,huerto,200,temporal,NA,manual,NA
Aticpac,7,hortensia,huerto,200,temporal,NA,manual,NA
Aticpac,7,dalia,huerto,200,temporal,NA,manual,NA
Aticpac,7,cascabel,huerto,200,temporal,NA,manual,NA
Aticpac,7,lirio,huerto,200,temporal,NA,manual,NA
Aticpac,7,tulipan,huerto,200,temporal,NA,manual,NA
Aticpac,7,lima,huerto,200,temporal,NA,manual,NA
Aticpac,7,ocote,monte,NA,NA,NA,manual,NA
Aticpac,7,nopal,huerto,200,temporal,NA,manual,NA
Aticpac,7,yerbabuena,huerto,200,temporal,NA,manual,NA
Aticpac,7,yoyotl,huerto,200,temporal,NA,manual,NA
Aticpac,7,laurel,monte,NA,NA,NA,manual,NA
Aticpac,7,clavo,huerto,200,temporal,NA,manual,NA
Aticpac,7,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,7,zarzamora,monte,NA,NA,NA,manual,NA
Aticpac,8,platano,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,naranja,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,tepexilotl,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,lima,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,limon,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,mandarina,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,cafe,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,cafe,parcela,2515.2,temporal,NA,manual,NA
Aticpac,8,tzopelikilitl,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,tzopelikilitl,parcela,3144,temporal,NA,manual,descanso_tierra
Aticpac,8,aztokilitl,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,aztokilitl,parcela,3144,temporal,NA,manual,descanso_tierra
Aticpac,8,bahkilitl,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,bahkilitl,parcela,3144,temporal,NA,manual,descanso_tierra
Aticpac,8,tomakilitl,huerto,1886.4,temporal,NA,manual,NA
Aticpac,8,tomakilitl,parcela,3144,temporal,NA,manual,descanso_tierra
Aticpac,8,maiz,parcela,3144,temporal,abono_quimico,manual,descanso_tierra
Aticpac,8,maiz,parcela,3144,temporal,abono_quimico,manual,NA
Aticpac,8,frijol,parcela,3144,temporal,abono_quimico,manual,descanso_tierra
Aticpac,8,frijol,parcela,3144,temporal,abono_quimico,manual,NA
Aticpac,8,calabaza,parcela,3144,temporal,abono_quimico,manual,descanso_tierra
Aticpac,8,calabaza,parcela,3144,temporal,abono_quimico,manual,NA
Aticpac,8,iztananacatl,parcela,3144,temporal,NA,manual,NA
Aticpac,8,tonagas,parcela,3144,temporal,NA,manual,NA
Aticpac,8,huitlacoche,parcela,3144,temporal,NA,manual,NA
Aticpac,8,laurel,monte,NA,NA,NA,manual,NA
Aticpac,9,laurel,monte,NA,NA,NA,manual,NA
Aticpac,9,platano,huerto,390,temporal,NA,manual,NA
Aticpac,9,lima,huerto,391,temporal,NA,manual,NA
Aticpac,9,guayaba,huerto,392,temporal,NA,manual,NA
Aticpac,9,ruda,huerto,393,temporal,NA,manual,NA
Aticpac,9,sabila,huerto,394,temporal,NA,manual,NA
Aticpac,9,rosa,huerto,395,temporal,NA,manual,NA
